"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 22 13:18:58 UTC 2026","Mon Jun 22 13:18:59 UTC 2026","769","tests.api","test_secret_page","TestSecret","","","test_get_secret_page[editor_session-200-Editor user should have access to secret page api]","Only admin and editor user have access to secret page api"
"passed","Mon Jun 22 13:19:20 UTC 2026","Mon Jun 22 13:19:21 UTC 2026","704","tests.ui.page_tests","test_register","TestRegister","","","test_user_register[chromium-user_data-True]","User can register only with valid data"
"passed","Mon Jun 22 13:18:23 UTC 2026","Mon Jun 22 13:18:23 UTC 2026","451","tests.api","test_categories","TestCategories","","","test_get_news_by_category[regular_session]","Any user has access to news by category"
"passed","Mon Jun 22 13:18:33 UTC 2026","Mon Jun 22 13:18:33 UTC 2026","535","tests.api","test_categories","TestCategories","","","test_delete_category[admin_session-200-True]","Only Admin and Editor users can create category"
"passed","Mon Jun 22 13:19:14 UTC 2026","Mon Jun 22 13:19:15 UTC 2026","1101","tests.ui.page_tests","test_news_add","TestNewsAdd","","","test_news_add_invalid_fields[chromium]","Editor user can't create news with incorrect fields"
"passed","Mon Jun 22 13:18:28 UTC 2026","Mon Jun 22 13:18:28 UTC 2026","652","tests.api","test_categories","TestCategories","","","test_create_category[editor_session-200-Editor user should have access to create category]","Only Admin and Editor users can create category"
"passed","Mon Jun 22 13:19:03 UTC 2026","Mon Jun 22 13:19:03 UTC 2026","134","tests.ui.page_tests","test_home","TestHome","","","test_home_page[chromium-None]","Any user can see home page"
"passed","Mon Jun 22 13:18:42 UTC 2026","Mon Jun 22 13:18:42 UTC 2026","91","tests.api","test_news","TestNews","","","test_create_news[unauthenticated_session-403-Unathenticated user shouldn't have access to create news]","Only admin and editor users can create news"
"passed","Mon Jun 22 13:19:36 UTC 2026","Mon Jun 22 13:19:37 UTC 2026","761","tests.ui.page_tests","test_secret","TestSecret","","","test_news_add_page[chromium-admin_user]","Any user can see category page"
"passed","Mon Jun 22 13:18:16 UTC 2026","Mon Jun 22 13:18:16 UTC 2026","793","tests.api","test_auth","TestAuth","","","test_login_user[regular_session-302-regular_user]","Only user with valid data can log-in"
"passed","Mon Jun 22 13:19:02 UTC 2026","Mon Jun 22 13:19:03 UTC 2026","843","tests.ui.page_tests","test_category_add","TestCategoryAdd","","","test_user_category_add[chromium-editor_user]","Admin and editor users can add category on category add page"
"passed","Mon Jun 22 13:18:48 UTC 2026","Mon Jun 22 13:18:49 UTC 2026","503","tests.api","test_news","TestNews","","","test_edit_news[editor_session-200-Editor user should have access to create news]",""
"passed","Mon Jun 22 13:18:18 UTC 2026","Mon Jun 22 13:18:19 UTC 2026","447","tests.api","test_auth","TestAuth","","","test_logout_user[regular_session]","Any user log-out"
"passed","Mon Jun 22 13:18:18 UTC 2026","Mon Jun 22 13:18:18 UTC 2026","3","tests.api","test_auth","TestAuth","","","test_logout_user[unauthenticated_session]","Any user log-out"
"passed","Mon Jun 22 13:19:21 UTC 2026","Mon Jun 22 13:19:22 UTC 2026","853","tests.ui.page_tests","test_secret","TestSecret","","","test_news_add_page[chromium-editor_user]","Any user can see category page"
"passed","Mon Jun 22 13:18:45 UTC 2026","Mon Jun 22 13:18:45 UTC 2026","99","tests.api","test_news","TestNews","","","test_edit_news[unauthenticated_session-302-Unathenticated user shouldn't have access to create news]",""
"passed","Mon Jun 22 13:19:27 UTC 2026","Mon Jun 22 13:19:28 UTC 2026","740","tests.ui.page_tests","test_news_add","TestNewsAdd","","","test_news_add_page[chromium-admin_user]","Any user can see category page"
